iso_i,year,mu_GG,mu_LG,mu_HG,mu_GL,mu_LL,mu_HL,mu_GH,mu_LH,mu_HH
USA,1998,.7122450623053387,.2154240915487548,.0723308461459064,.3179766949062698,.4646955567730184,.2173277483207118,.2364941658738672,.356932139710904,.4065736944152289
USA,1999,.7051517185465196,.2229155342016184,.0719327472518619,.3080730612761959,.471571162872106,.220355775851698,.2203995453674262,.366663044937924,.4129374096946498
USA,2000,.6922502807207277,.2357766258494941,.0719730934297782,.3002607257580441,.4744146297072268,.2253246445347291,.2141458416795849,.3685901686353394,.4172639896850757
USA,2001,.6791641212620265,.247518173219758,.0733177055182154,.295063947777011,.4862684888020479,.2186675634209411,.2107737084196788,.3934311838122995,.3957951077680216
USA,2002,.6761286827529759,.2471475515838693,.0767237656631549,.2868439219535593,.4867551771453466,.2264009009010941,.1980400835311571,.4098417488829712,.3921181675858716
USA,2003,.6732776495919477,.2515611480443226,.0751612023637298,.2883566420028902,.4760432228091319,.2356001351879779,.1932791935656664,.4074750381467401,.3992457682875936
USA,2004,.6782680340447529,.2467228651560591,.0750091007991881,.2785278691235548,.4779503061932753,.24352182468317,.1764731703240863,.4138377309720905,.4096890987038231
USA,2005,.6751520717535042,.2521093879787838,.072738540267712,.2846742161252824,.4668460117544719,.2484797721202456,.1836429105679622,.4108033984944411,.4055536909375967
USA,2006,.6795750481522136,.2477366182872298,.0726883335605567,.2871687804794044,.4684723750285446,.244358844492051,.178495366223421,.4094719264551241,.4120327073214549
USA,2007,.676714139378462,.2458892307053769,.0773966299161612,.2857002044330079,.4595302437705199,.2547695517964722,.185780217375361,.3852920567776133,.4289277258470257
USA,2008,.6719773139275778,.2503687539929921,.0776539320794302,.2828451425702632,.4625188780742498,.2546359793554871,.1749149393483433,.3994106614590866,.4256743991925702
USA,2009,.6646820887543801,.2519477950930634,.0833701161525565,.2541786407932994,.4730285660045641,.2727927932021365,.165725113713176,.3955839608231592,.4386909254636648
USA,2010,.6494379502784502,.2705266403740733,.0800354093474765,.2518066606963236,.4912305757748529,.2569627635288234,.1582274346658148,.4244897951152623,.417282770218923
USA,2011,.6589277232632893,.2620075187470266,.0790647579896841,.2556658304668815,.4870954631409594,.2572387063921592,.1618526318689697,.4208785189284361,.4172688492025942
